CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
22447028,2024.76947,547,193,28,3/22/15,72.31319536
25781532,2023.45985,684,273,48,3/22/15,42.15541354
22153444,2015.43986,653,369,55,3/25/15,36.64436109
25589295,2005.85971,523,250,17,3/22/15,117.9917476
23678197,1997.23976,587,272,13,3/24/15,153.6338277
20718868,1996.31973,513,241,70,3/25/15,28.51885329
29928977,1994.17979,612,272,14,3/22/15,142.4414136
42463275,1981.98972,686,256,22,3/23/15,90.09044182
22331579,1978.62954,505,214,31,3/23/15,63.82675935
39939709,1977.99967,475,251,27,3/23/15,73.25924704
21623787,1969.88948,546,220,45,3/24/15,43.77532178
22206980,1968.10952,543,253,15,3/21/15,131.2073013
22253870,1963.48958,516,182,22,3/21/15,89.24952636
36523375,1960.68954,485,207,12,3/21/15,163.390795
21175930,1955.04966,534,342,31,3/23/15,63.06611806
28529011,1951.02988,500,233,59,3/25/15,33.06830305
23615820,1947.24975,589,267,45,3/25/15,43.27221667
23715424,1943.74983,529,298,32,3/23/15,60.74218219
22331544,1942.12966,500,240,25,3/23/15,77.6851864
21591001,1935.67975,598,280,41,3/23/15,47.21170122
34450777,1930.84979,528,341,43,3/25/15,44.90348349
21461960,1930.66976,584,342,54,3/25/15,35.7531437
22514157,1929.34966,460,252,16,3/22/15,120.5843538
23274178,1928.99974,557,244,47,3/25/15,41.04254766
21127468,1921.9095,617,282,26,3/22/15,73.91959615
22331577,1921.35976,573,347,26,3/21/15,73.89845231
22639637,1919.06987,604,268,24,3/24/15,79.96124458
22211054,1918.90949,612,188,38,3/25/15,50.49761816
21152071,1903.12971,467,237,60,3/22/15,31.7188285
23135927,1895.27972,498,241,20,3/24/15,94.763986
40040401,1883.19977,485,256,29,3/24/15,64.9379231
21431669,1882.69973,513,289,7,3/17/15,268.9571043
21030662,1880.12948,412,220,26,3/24/15,72.31267231
22591069,1878.39965,504,278,36,3/22/15,52.17776806
39740996,1869.04956,449,191,45,3/21/15,41.53443467
39620346,1847.83972,544,294,24,3/23/15,76.99332167
39357039,1840.39983,506,203,41,3/25/15,44.88780073
30202469,1835.88972,470,252,20,3/22/15,91.794486
21602821,1835.14986,714,205,53,3/25/15,34.62546906
26031795,1831.37991,530,314,55,3/25/15,33.29781655
21663237,1820.0098,478,321,26,3/23/15,70.00037692
21440899,1818.20944,548,203,19,3/22/15,95.69523368
22772654,1816.81978,569,281,101,3/25/15,17.98831465
37156180,1802.49987,611,160,89,3/25/15,20.25280753
22562272,1802.07972,425,235,8,3/25/15,225.259965
22338760,1790.58975,466,213,8,3/25/15,223.8237188
21156689,1790.12963,568,231,25,3/23/15,71.6051852
20922902,1789.75988,523,321,17,3/17/15,105.2799929
36147568,1784.81992,518,235,36,3/25/15,49.57833111
22090869,1782.50965,527,161,33,3/23/15,54.01544394
21431994,1781.63975,439,304,34,3/24/15,52.40116912
28680174,1780.4798,414,205,28,3/25/15,63.58856429
20872567,1778.81974,540,153,19,3/21/15,93.62209158
21159253,1775.07971,498,249,16,3/24/15,110.9424819
22207944,1774.55982,544,151,26,3/25/15,68.25230077
22996694,1768.90983,465,206,35,3/25/15,50.54028086
22253311,1767.03976,610,275,8,3/20/15,220.87997
23794219,1766.22971,486,262,22,3/23/15,80.28316864
36839344,1765.9297,441,238,26,3/24/15,67.92037308
23736494,1764.67974,453,225,10,3/21/15,176.467974
39009653,1760.35961,409,217,43,3/25/15,40.93859558
22641719,1754.73978,482,282,18,3/16/15,97.48554333
20734934,1753.79976,517,248,17,3/22/15,103.1646918
41184297,1752.48989,518,316,54,3/23/15,32.45351648
39307971,1740.48975,444,283,30,3/24/15,58.016325
22532611,1738.16989,481,257,52,3/24/15,33.42634404
22117151,1737.1494,592,110,28,3/22/15,62.04105
22748106,1735.61956,471,204,29,3/25/15,59.84895034
20756562,1719.56987,472,191,47,3/24/15,36.58659298
21674959,1714.54967,470,250,27,3/22/15,63.50183963
20694280,1712.52973,458,207,13,3/21/15,131.7330562
21285175,1705.43959,413,259,37,3/25/15,46.09296189
35072866,1699.3198,568,244,33,3/25/15,51.49453939
21431667,1691.34968,443,110,19,3/23/15,89.01840421
