ITEM_ID,TOTAL_REVENUE,VISITS_PURCHASED,DISTINCT_CUSTOMERS,AVG_PRICE
11616746,1775.79999,368,247,4.645009049
13902587,1766.3,525,460,2.428526984
12176852,1759.86957,225,208,7.246131978
13881109,1759.86,426,316,4.054788732
12822429,1750.71999,478,376,3.258340303
11741268,1750.15998,438,304,3.848987808
11653998,1742.66995,312,231,5.417083253
11985424,1740.97987,265,209,6.315018632
11740793,1739.96,766,504,2.269229765
11743793,1731.38,1125,817,1.49
11740752,1722.66999,360,322,4.556861102
11741277,1715.05999,428,285,3.839867593
11746295,1714.56,713,426,2.28
11620659,1712.54995,665,480,2.168250605
11832825,1706.68958,227,196,6.897546388
14383637,1701.44,503,408,3.361769384
15232272,1700.62988,594,415,1.796096919
12159371,1699.74999,426,319,3.498376362
11740890,1699.38,653,410,2.587963247
11746288,1694.36999,416,196,3.888661851
13789509,1694.2599,284,214,5.789647711
11744934,1676.77938,249,182,4.604256077
11683930,1673.23991,274,245,5.690522965
11738375,1672.86845,170,162,9.6345205
12175836,1665.30996,382,244,4.060698051
11666106,1658.0499,205,199,7.892926537
11602996,1653.45951,281,213,5.866403968
14909815,1651.59984,357,326,3.290345375
11902874,1651.46996,515,398,3.17394167
11746118,1637.5,621,434,2.62
12187916,1636.66995,408,322,3.423472188
12218996,1636.64991,244,207,6.508518566
11664753,1631.84849,166,131,9.770171687
15060914,1629.97995,378,325,3.944938248
12518569,1626.15988,467,420,3.062961959
15231453,1622.51995,606,436,1.793413079
15120278,1616.91,1212,953,1.255594059
11741832,1614.44,766,574,2.104588773
11702691,1612.90954,276,268,4.436607802
11606563,1603.8,353,317,4.344107649
11674083,1598.74891,197,170,5.905690127
11670544,1597.46991,340,222,4.274578332
15065747,1595.61997,307,247,4.904755668
11698912,1592.66985,326,265,3.729478318
12819975,1587.41994,301,214,4.560243571
11872776,1567.70999,338,228,4.455971391
14941740,1567.69,471,337,3.088407643
12506365,1565.27994,620,515,1.445715044
11698078,1564.49989,328,270,4.149649256
12928446,1561.87,305,220,4.703688525
11749549,1560.1586,161,156,6.24561573
11687104,1559.23995,341,276,4.034134853
11954856,1559.13997,343,263,3.98182699
11979338,1558.60997,357,298,4.115546181
15016568,1557.42991,261,190,5.679999847
12820704,1555.92961,230,152,5.364978643
14211510,1555.11973,236,173,5.915712631
11698087,1551.27916,181,175,8.368080249
11667865,1550.24971,198,163,6.921598649
12231004,1549.79991,229,188,6.56390083
12889460,1548.89997,561,379,2.486191316
13778460,1547.1,526,368,2.86338403
11702389,1546.81,565,343,2.731752212
15043137,1542.66999,402,269,3.545580423
12577750,1539.99846,154,107,9.82683
14237875,1538.95996,208,187,5.136081659
11744114,1536.22998,458,371,3.193438854
11600770,1531.94999,305,278,4.528405148
11671427,1531.80999,533,487,2.668067538
15075612,1529.99847,153,152,9.836591471
13789470,1529.43998,258,175,5.889302287
11872780,1524.58998,323,227,4.538152717
11742279,1515.82999,420,253,3.522920631
15107681,1509.62,424,363,3.282959906
11698997,1506.20946,215,206,5.94171263
12516261,1505.88994,284,172,4.621666602
11668189,1504.02995,299,235,4.840468144
11625422,1501.88999,318,197,4.535796635
13902069,1496.8098,238,176,5.840979979
12218998,1494.94985,220,165,6.405075466
11645980,1484.35,307,222,4.636416938
11744851,1483.85998,546,415,2.553168491
11658141,1483.19998,413,320,3.309808977
11625340,1482.93,591,365,2.440439932
11656156,1481.32997,394,354,3.49028763
14294422,1479.55896,148,138,7.480130625
11744907,1477.51985,304,256,4.722631184
11634177,1477.38999,348,287,4.064262443
12231805,1474.84,396,321,3.548080808
14211506,1473.8697,223,172,5.946105336
11603747,1473.73995,345,170,3.879516862
11748962,1469.35917,147,120,9.859586327
12932637,1464.46995,284,254,4.803086796
11842327,1459.99854,146,122,9.828757295
11645958,1459.60999,374,227,3.452415321
11744485,1459.2,464,406,3.047112069
11927581,1458.11996,182,172,5.912225206
11742323,1457.99997,488,250,2.548463099
11746132,1457.48,463,339,3.063974082
13019940,1455.42999,484,252,2.381015492
14856670,1447.69995,249,234,5.411432319
12788388,1446.89998,668,550,1.364970056
11746969,1446.70987,238,190,5.70063
12788248,1445.52987,210,174,6.573952071
11832845,1443.33993,263,200,5.015944113
6573909,1441.95,597,399,2.215999442
11749553,1441.50885,155,154,5.599447371
11633466,1432.53985,161,144,8.664844022
12787255,1431.98996,361,288,3.469335152
11742226,1426.88,833,651,1.696926771
12807633,1425.65,409,304,3.112713936
11667050,1424.87,398,305,3.446281407
11681485,1422.60999,517,385,2.730319139
11664535,1420.43999,468,382,2.780619654
13870748,1420.30971,187,181,7.064936591
11603748,1418.24992,283,177,4.503804382
14340230,1416.83954,183,131,6.366266061
13797803,1415.13994,283,187,4.798916281
11746244,1414.56999,302,200,4.51544149
11620191,1413.33994,262,207,5.041755658
11683854,1411.4,257,210,5.433579767
11741819,1409.88996,409,381,3.033007306
14196408,1408.10998,297,217,4.475589209
11625338,1402.59998,157,90,8.870063631
14410881,1400.02978,219,141,5.875326758
14433486,1399.15944,140,136,9.69637725
11605030,1397.43999,502,419,2.774103566
11697155,1389.82878,139,99,9.728984299
13767671,1389.50997,453,241,2.363035307
14460576,1388.31969,193,148,6.198323748
14899958,1386.84,407,326,3.04980344
11609321,1380.98862,139,113,8.981933471
14502888,1374.48997,317,278,3.71191375
11746122,1373.70999,326,201,3.923057255
11703696,1370.33998,381,313,3.291706025
11654387,1369.10985,204,149,5.856592794
12222161,1368.48991,210,181,6.302333119
11894373,1368.21999,280,178,4.693749991
11746123,1365.66,312,197,4.091923077
11636950,1360.14993,202,135,6.560148342
11741072,1358.88998,377,277,3.273510153
11727459,1351.29999,466,357,2.616716733
11686438,1350.60993,322,213,3.766097236
14905342,1350,276,198,4.500869565
11645956,1349.85,365,244,3.460410959
11742054,1348.75996,354,285,3.757528178
11696755,1348.06999,330,262,3.89457575
11658147,1346.49997,369,316,3.310252913
11660916,1341.91995,384,317,3.125954824
11621874,1335.03994,384,342,2.583802038
11646279,1334.21995,349,166,3.473524324
11699047,1330.97888,137,86,9.532692737
11695981,1330.5299,314,286,3.543694193
11746133,1330.45,450,336,2.95
13789484,1328.78998,223,160,5.913856457
11638717,1328.34995,261,160,4.984099531
11823783,1327.34,263,211,4.70539924
13881110,1325.04,321,241,4.064766355
13870746,1323.89874,133,123,9.653374286
11670831,1321.90987,411,353,1.245485482
11604867,1321.01998,483,387,2.432774319
11746289,1318.71999,554,341,2.278463123
13999722,1314.79985,202,189,6.092293379
11668166,1311.10996,741,583,0.830554802
11617940,1308.40999,1012,700,0.852690027
11632675,1308.37999,318,254,3.936677138
11669426,1307.60999,273,225,4.478785971
14565147,1307.51907,141,128,7.411484628
11696034,1306.46,639,545,1.381455399
11826631,1305.84996,665,456,1.069478692
14433430,1303.6099,163,154,7.690858589
14916327,1298.97999,298,223,4.264642047
13009825,1294.99995,263,174,4.560278776
11697782,1290.84996,276,213,4.549082065
